league,week,franchise_id,franchise_score,opponent_id,opponent_score,result,diff_score,franchise_name,user_name,franchise_name_opponent,user_name_opponent
L3 The Only Legitimate LTS Bowl League,5,1,0,6,0,NA,0,39ers,tripp39,Edina Cake Eaters,ecsirkin
L3 The Only Legitimate LTS Bowl League,5,2,0,4,0,NA,0,The Enemy Speaks Kindly,Deredactyl,_casey88,_casey88
L3 The Only Legitimate LTS Bowl League,5,3,0,10,0,NA,0,Turd Ferguson,TurdFergusonFF,johnnysmomskid,johnnysmomskid
L3 The Only Legitimate LTS Bowl League,5,4,0,2,0,NA,0,_casey88,_casey88,The Enemy Speaks Kindly,Deredactyl
L3 The Only Legitimate LTS Bowl League,5,5,0,9,0,NA,0,The Woke FAAB,reginaldo,Never Owned ,alexewart
L3 The Only Legitimate LTS Bowl League,5,6,0,1,0,NA,0,Edina Cake Eaters,ecsirkin,39ers,tripp39
L3 The Only Legitimate LTS Bowl League,5,7,0,8,0,NA,0,Gods of War,DefLepFan4Ever,WilhelmTilt,ringular
L3 The Only Legitimate LTS Bowl League,5,8,0,7,0,NA,0,WilhelmTilt,ringular,Gods of War,DefLepFan4Ever
L3 The Only Legitimate LTS Bowl League,5,9,0,5,0,NA,0,Never Owned ,alexewart,The Woke FAAB,reginaldo
L3 The Only Legitimate LTS Bowl League,5,10,0,3,0,NA,0,johnnysmomskid,johnnysmomskid,Turd Ferguson,TurdFergusonFF
L4 LTS League 4 (some),1,1,181.8,9,149.49,W,32.31,DavisDayCare,DavisDayCare,powersrva,powersrva
L4 LTS League 4 (some),1,2,144.8,10,164.95,L,20.149999999999977,The Glorious Process,GuzOP21,Poop on the Cob,Joker1b
L4 LTS League 4 (some),1,3,170.77,8,174.86,L,4.090000000000003,jetsgnome22,jetsgnome22,BigUglyRhino,ErikFedders
L4 LTS League 4 (some),1,4,150.87,7,200.38,L,49.50999999999999,You could do worse,pfitzsimmons85,Tennesunk Titans,austinhunt94
L4 LTS League 4 (some),1,5,167.15,6,173.09,L,5.939999999999998,Bang Bang Gang,theB1gGuy,Forrest Whitaker eye,cptbeefalo
L4 LTS League 4 (some),1,6,173.09,5,167.15,W,5.939999999999998,Forrest Whitaker eye,cptbeefalo,Bang Bang Gang,theB1gGuy
L4 LTS League 4 (some),1,7,200.38,4,150.87,W,49.50999999999999,Tennesunk Titans,austinhunt94,You could do worse,pfitzsimmons85
L4 LTS League 4 (some),1,8,174.86,3,170.77,W,4.090000000000003,BigUglyRhino,ErikFedders,jetsgnome22,jetsgnome22
L4 LTS League 4 (some),1,9,149.49,1,181.8,L,32.31,powersrva,powersrva,DavisDayCare,DavisDayCare
L4 LTS League 4 (some),1,10,164.95,2,144.8,W,20.149999999999977,Poop on the Cob,Joker1b,The Glorious Process,GuzOP21
L4 LTS League 4 (some),2,1,183.01,4,205.8,L,22.79000000000002,DavisDayCare,DavisDayCare,You could do worse,pfitzsimmons85
L4 LTS League 4 (some),2,2,245.7,6,234.57,W,11.129999999999995,The Glorious Process,GuzOP21,Forrest Whitaker eye,cptbeefalo
L4 LTS League 4 (some),2,3,201.83,7,188.06,W,13.77000000000001,jetsgnome22,jetsgnome22,Tennesunk Titans,austinhunt94
L4 LTS League 4 (some),2,4,205.8,1,183.01,W,22.79000000000002,You could do worse,pfitzsimmons85,DavisDayCare,DavisDayCare
L4 LTS League 4 (some),2,5,152.84,10,176.45,L,23.609999999999985,Bang Bang Gang,theB1gGuy,Poop on the Cob,Joker1b
L4 LTS League 4 (some),2,6,234.57,2,245.7,L,11.129999999999995,Forrest Whitaker eye,cptbeefalo,The Glorious Process,GuzOP21
L4 LTS League 4 (some),2,7,188.06,3,201.83,L,13.77000000000001,Tennesunk Titans,austinhunt94,jetsgnome22,jetsgnome22
L4 LTS League 4 (some),2,8,201.86,9,172.58,W,29.28,BigUglyRhino,ErikFedders,powersrva,powersrva
L4 LTS League 4 (some),2,9,172.58,8,201.86,L,29.28,powersrva,powersrva,BigUglyRhino,ErikFedders
L4 LTS League 4 (some),2,10,176.45,5,152.84,W,23.609999999999985,Poop on the Cob,Joker1b,Bang Bang Gang,theB1gGuy
L4 LTS League 4 (some),3,1,203.06,3,187.92,W,15.140000000000015,DavisDayCare,DavisDayCare,jetsgnome22,jetsgnome22
L4 LTS League 4 (some),3,2,180.38,5,165.51,W,14.870000000000005,The Glorious Process,GuzOP21,Bang Bang Gang,theB1gGuy
L4 LTS League 4 (some),3,3,187.92,1,203.06,L,15.140000000000015,jetsgnome22,jetsgnome22,DavisDayCare,DavisDayCare
L4 LTS League 4 (some),3,4,199.44,9,222.27,L,22.830000000000013,You could do worse,pfitzsimmons85,powersrva,powersrva
L4 LTS League 4 (some),3,5,165.51,2,180.38,L,14.870000000000005,Bang Bang Gang,theB1gGuy,The Glorious Process,GuzOP21
L4 LTS League 4 (some),3,6,271.7,10,159.28,W,112.41999999999999,Forrest Whitaker eye,cptbeefalo,Poop on the Cob,Joker1b
L4 LTS League 4 (some),3,7,173.74,8,180.25,L,6.509999999999991,Tennesunk Titans,austinhunt94,BigUglyRhino,ErikFedders
L4 LTS League 4 (some),3,8,180.25,7,173.74,W,6.509999999999991,BigUglyRhino,ErikFedders,Tennesunk Titans,austinhunt94
L4 LTS League 4 (some),3,9,222.27,4,199.44,W,22.830000000000013,powersrva,powersrva,You could do worse,pfitzsimmons85
L4 LTS League 4 (some),3,10,159.28,6,271.7,L,112.41999999999999,Poop on the Cob,Joker1b,Forrest Whitaker eye,cptbeefalo
L4 LTS League 4 (some),4,1,184.64,6,179.94,W,4.699999999999989,DavisDayCare,DavisDayCare,Forrest Whitaker eye,cptbeefalo
L4 LTS League 4 (some),4,2,196.42,4,160.39,W,36.03,The Glorious Process,GuzOP21,You could do worse,pfitzsimmons85
L4 LTS League 4 (some),4,3,192.21,9,199.95,L,7.739999999999981,jetsgnome22,jetsgnome22,powersrva,powersrva
L4 LTS League 4 (some),4,4,160.39,2,196.42,L,36.03,You could do worse,pfitzsimmons85,The Glorious Process,GuzOP21
L4 LTS League 4 (some),4,5,176.99,8,141.47,W,35.52000000000001,Bang Bang Gang,theB1gGuy,BigUglyRhino,ErikFedders
L4 LTS League 4 (some),4,6,179.94,1,184.64,L,4.699999999999989,Forrest Whitaker eye,cptbeefalo,DavisDayCare,DavisDayCare
L4 LTS League 4 (some),4,7,207.64,10,202.89,W,4.75,Tennesunk Titans,austinhunt94,Poop on the Cob,Joker1b
L4 LTS League 4 (some),4,8,141.47,5,176.99,L,35.52000000000001,BigUglyRhino,ErikFedders,Bang Bang Gang,theB1gGuy
L4 LTS League 4 (some),4,9,199.95,3,192.21,W,7.739999999999981,powersrva,powersrva,jetsgnome22,jetsgnome22
L4 LTS League 4 (some),4,10,202.89,7,207.64,L,4.75,Poop on the Cob,Joker1b,Tennesunk Titans,austinhunt94
L4 LTS League 4 (some),5,1,0,8,0,NA,0,DavisDayCare,DavisDayCare,BigUglyRhino,ErikFedders
L4 LTS League 4 (some),5,2,0,7,0,NA,0,The Glorious Process,GuzOP21,Tennesunk Titans,austinhunt94
L4 LTS League 4 (some),5,3,0,5,0,NA,0,jetsgnome22,jetsgnome22,Bang Bang Gang,theB1gGuy
L4 LTS League 4 (some),5,4,0,10,0,NA,0,You could do worse,pfitzsimmons85,Poop on the Cob,Joker1b
L4 LTS League 4 (some),5,5,0,3,0,NA,0,Bang Bang Gang,theB1gGuy,jetsgnome22,jetsgnome22
L4 LTS League 4 (some),5,6,0,9,0,NA,0,Forrest Whitaker eye,cptbeefalo,powersrva,powersrva
L4 LTS League 4 (some),5,7,0,2,0,NA,0,Tennesunk Titans,austinhunt94,The Glorious Process,GuzOP21
L4 LTS League 4 (some),5,8,0,1,0,NA,0,BigUglyRhino,ErikFedders,DavisDayCare,DavisDayCare
L4 LTS League 4 (some),5,9,0,6,0,NA,0,powersrva,powersrva,Forrest Whitaker eye,cptbeefalo
L4 LTS League 4 (some),5,10,0,4,0,NA,0,Poop on the Cob,Joker1b,You could do worse,pfitzsimmons85
L5 Week 3 Nick Foles,1,1,167.68,2,144.06,W,23.620000000000005,The Lib Owners,nak97,fantasyscott,fantasyscott
L5 Week 3 Nick Foles,1,2,144.06,1,167.68,L,23.620000000000005,fantasyscott,fantasyscott,The Lib Owners,nak97
L5 Week 3 Nick Foles,1,3,171.01,10,130.91,W,40.099999999999994,Sexy Skeletons ,aspires,charlessword,charlessword
L5 Week 3 Nick Foles,1,4,135.58,8,194.58,L,59,Lenny’s Retirement Party,matthewdwood82,Great Clips' Revenge,CommieEsq
L5 Week 3 Nick Foles,1,5,191.92,9,192.03,L,0.11000000000001364,Closet Poopers,coots1185,sadmalander,sadmalander
L5 Week 3 Nick Foles,1,6,176.72,7,196.56,L,19.840000000000003,TD Upside,csurunnerccr,Big Seltzer™,jonsey456
L5 Week 3 Nick Foles,1,7,196.56,6,176.72,W,19.840000000000003,Big Seltzer™,jonsey456,TD Upside,csurunnerccr
